# #"Time" "KineticEnergy" "SolenoidalDissipation" "DilatationalDissipation""
5.049999999999999822e+00 1.235418066791447167e-01 2.456744280914798656e-03 3.571414839050868466e-04
5.099999999999999645e+00 1.232169553106066962e-01 2.506289063699101635e-03 3.599613165831031620e-04
5.150000000000000355e+00 1.228860643176079154e-01 2.556609580004352757e-03 3.617159978929736859e-04
5.200000000000000178e+00 1.225503044313223239e-01 2.607537881191801868e-03 3.660714111675875387e-04
5.250000000000000000e+00 1.222095989376561637e-01 2.659024087609822024e-03 3.702223260824921919e-04
5.299999999999999822e+00 1.218621805195513053e-01 2.711015143756412803e-03 3.742213523215096884e-04
5.349999999999999645e+00 1.215066621996150203e-01 2.763217838320078390e-03 3.779651704400356377e-04
5.400000000000000355e+00 1.211450169981408559e-01 2.815543390649459174e-03 3.823357278100233806e-04
5.450000000000000178e+00 1.207786845465136788e-01 2.868737123556526231e-03 3.880909161375329210e-04
5.500000000000000000e+00 1.204077265540732383e-01 2.923168346144134483e-03 3.945711377892765440e-04
5.549999999999999822e+00 1.200340820667420427e-01 2.979458016309585126e-03 4.016083283270043317e-04
5.599999999999999645e+00 1.196616342657497584e-01 3.037745655963389625e-03 4.107302679474442815e-04
5.650000000000000355e+00 1.192914351611670254e-01 3.097629947431445110e-03 4.204878081260002417e-04
5.700000000000000178e+00 1.189241554120064742e-01 3.158628780761919656e-03 4.303864696988522363e-04
5.750000000000000000e+00 1.185613929983065223e-01 3.218813905030360606e-03 4.418641353754610411e-04
5.799999999999999822e+00 1.182039662564709909e-01 3.278325056020269055e-03 4.521627508930708516e-04
5.849999999999999645e+00 1.178558707993153515e-01 3.338169360573319238e-03 4.627093823671003889e-04
5.900000000000000355e+00 1.175199923619690834e-01 3.399893363548677026e-03 4.753121568490457742e-04
5.950000000000000178e+00 1.171967990101637630e-01 3.463730372871659698e-03 4.872502178137710330e-04
6.000000000000000000e+00 1.168865048072851992e-01 3.529647745179039040e-03 4.981393650551356250e-04
6.049999999999999822e+00 1.165927266126522283e-01 3.598398446962418080e-03 5.104216136116355128e-04
6.099999999999999645e+00 1.163162635213755708e-01 3.669932589450162607e-03 5.226810579894977443e-04
6.150000000000000355e+00 1.160563461558376808e-01 3.743193051195135498e-03 5.341585926401015618e-04
6.200000000000000178e+00 1.158138717193667594e-01 3.820579236349598909e-03 5.477926673169229276e-04
6.250000000000000000e+00 1.155900782630524121e-01 3.903521148017847619e-03 5.593480740902864084e-04
6.299999999999999822e+00 1.153823467162800875e-01 3.991525912631832193e-03 5.653750096632451528e-04
6.349999999999999645e+00 1.151897144156540237e-01 4.082504799604739013e-03 5.659964061987617263e-04
6.400000000000000355e+00 1.150059692567243358e-01 4.174364817959977381e-03 5.614393681892575682e-04
6.450000000000000178e+00 1.148230793665610677e-01 4.264927081520342514e-03 5.563249446484791992e-04
6.500000000000000000e+00 1.146302519431887240e-01 4.352742071948545802e-03 5.505372164426239464e-04
6.549999999999999822e+00 1.144189689266807836e-01 4.436766158864391234e-03 5.399708820387255550e-04
6.599999999999999645e+00 1.141874667821234784e-01 4.517076061089871086e-03 5.269870456447593764e-04
6.650000000000000355e+00 1.139352050089768309e-01 4.593802256309433875e-03 5.170453838224787308e-04
6.700000000000000178e+00 1.136578492347735531e-01 4.667281996648378097e-03 5.091718456789931903e-04
6.750000000000000000e+00 1.133523493965645085e-01 4.737915543571231958e-03 5.028228779399148774e-04
6.799999999999999822e+00 1.130193939181512869e-01 4.805646398105700538e-03 4.953600990992586663e-04
6.849999999999999645e+00 1.126607820061723692e-01 4.870794131640426329e-03 4.833543146501067720e-04
6.900000000000000355e+00 1.122798450523340985e-01 4.934051186591570382e-03 4.696505225768687181e-04
6.950000000000000178e+00 1.118807592921548105e-01 4.997186988998995362e-03 4.552746626094853247e-04
7.000000000000000000e+00 1.114690035804523360e-01 5.060738173133987571e-03 4.417116959045678712e-04
7.049999999999999822e+00 1.110496727474917233e-01 5.125708191955794663e-03 4.283471232782881145e-04
7.099999999999999645e+00 1.106284564165283951e-01 5.193940650342974974e-03 4.149547764502933681e-04
7.150000000000000355e+00 1.102098539982271502e-01 5.265854481370514130e-03 4.022848369492409092e-04
7.200000000000000178e+00 1.097972012891393068e-01 5.341603392730073611e-03 3.908887546196649211e-04
7.250000000000000000e+00 1.093906468112035429e-01 5.420224559045489117e-03 3.804749309763801371e-04
7.299999999999999822e+00 1.089896348283846267e-01 5.500600003725295700e-03 3.717374268007968209e-04
7.349999999999999645e+00 1.085914588289506322e-01 5.582095729425327890e-03 3.624837404007274144e-04
7.400000000000000355e+00 1.081945670421740058e-01 5.664026652630921484e-03 3.517683841398942888e-04
7.450000000000000178e+00 1.078021117056482542e-01 5.745854199515646084e-03 3.426492753734444708e-04
7.500000000000000000e+00 1.074178200614247930e-01 5.827293737711296447e-03 3.356225105698544542e-04
7.549999999999999822e+00 1.070437692369503035e-01 5.909539215747482491e-03 3.285846730786847847e-04
7.599999999999999645e+00 1.066855243886312837e-01 5.993945543724612732e-03 3.227330723437367020e-04
7.650000000000000355e+00 1.063439014155882767e-01 6.080221334407680603e-03 3.183731205348368275e-04
7.700000000000000178e+00 1.060198600033050165e-01 6.167359744892100988e-03 3.147532019926263741e-04
7.750000000000000000e+00 1.057107271867581133e-01 6.253112211876540524e-03 3.108981527628691308e-04
7.799999999999999822e+00 1.054119575421627875e-01 6.335502737641857986e-03 3.073579162032315736e-04
7.849999999999999645e+00 1.051193193482375526e-01 6.414328623820119216e-03 3.037640482804411556e-04
7.900000000000000355e+00 1.048297610838232058e-01 6.490041401690346129e-03 3.000107400760344952e-04
7.950000000000000178e+00 1.045387218406282070e-01 6.562441204673327352e-03 2.959848851657842072e-04
8.000000000000000000e+00 1.042432447950227131e-01 6.629694156373322489e-03 2.938687887244654856e-04
8.050000000000000711e+00 1.039371216534595577e-01 6.690359624006939759e-03 2.944007931929151583e-04
8.099999999999999645e+00 1.036127227839973991e-01 6.743629433095164015e-03 2.964146938282970060e-04
8.150000000000000355e+00 1.032591576731082122e-01 6.788452333659186592e-03 2.986668040733443143e-04
8.199999999999999289e+00 1.028720714849735013e-01 6.826159011899601142e-03 3.005473623263992108e-04
8.250000000000000000e+00 1.024529719367721498e-01 6.858460548112207782e-03 3.006980437826580681e-04
8.300000000000000711e+00 1.020056594571976394e-01 6.885945892915757913e-03 2.990707620604943196e-04
8.349999999999999645e+00 1.015312477817896519e-01 6.910074552688182103e-03 2.978524501633698311e-04
8.400000000000000355e+00 1.010315488937773565e-01 6.936973422059887831e-03 2.973835128358783865e-04
8.449999999999999289e+00 1.005117995104879702e-01 6.968902410395950639e-03 2.989274974708254853e-04
8.500000000000000000e+00 9.997624685022601931e-02 7.006476492784229418e-03 3.014260199794516703e-04
8.550000000000000711e+00 9.943027222360083239e-02 7.051590860598298295e-03 3.033903871125848335e-04
8.599999999999999645e+00 9.887986034521228929e-02 7.106907314434502722e-03 3.043460432916138270e-04
8.650000000000000355e+00 9.833068002197155322e-02 7.172942170314219185e-03 3.030569198351066901e-04
8.699999999999999289e+00 9.779035257792688396e-02 7.249805367579648802e-03 2.995119217169611367e-04
8.750000000000000000e+00 9.726033793690265494e-02 7.336910434253467693e-03 2.943345224026484744e-04
8.800000000000000711e+00 9.674172016951586295e-02 7.436246946841058338e-03 2.878771176382461717e-04
8.849999999999999645e+00 9.623169481304311157e-02 7.547263304944775396e-03 2.837056858408639544e-04
8.900000000000000355e+00 9.572309197245845724e-02 7.663796254786945511e-03 2.818044871298882128e-04
8.949999999999999289e+00 9.521036971056717757e-02 7.774339304914021018e-03 2.821292884442509015e-04
9.000000000000000000e+00 9.469405463908722731e-02 7.872038447834343866e-03 2.837400588363383526e-04
9.050000000000000711e+00 9.418253326934576675e-02 7.953383895024528083e-03 2.842298499294212684e-04
9.099999999999999645e+00 9.368231119489800474e-02 8.018684475196966727e-03 2.830992884492477581e-04
9.150000000000000355e+00 9.320362947046399726e-02 8.073363912487366983e-03 2.811734787919306492e-04
9.199999999999999289e+00 9.273736541940434674e-02 8.111929577902091126e-03 2.779772961184325615e-04
9.250000000000000000e+00 9.227914806421620708e-02 8.133215562984555738e-03 2.745187183510167626e-04
9.300000000000000711e+00 9.182462918607221802e-02 8.141389801423174963e-03 2.702465655164883749e-04
9.349999999999999645e+00 9.137338532560493332e-02 8.146349122366152579e-03 2.654071810781018421e-04
9.400000000000000355e+00 9.093087482611686423e-02 8.155355977510152232e-03 2.623403461660490173e-04
9.449999999999999289e+00 9.049876671825343721e-02 8.171679049826401087e-03 2.613900443090824070e-04
9.500000000000000000e+00 9.007191756862270582e-02 8.193001109988447273e-03 2.620824506375785926e-04
9.550000000000000711e+00 8.964367704582090757e-02 8.216898773394716582e-03 2.618366080731763298e-04
9.599999999999999645e+00 8.920388710489990380e-02 8.235788020071794016e-03 2.576599005631108807e-04
