x y z
309.090909 4.528520 3.815937
315.151515 4.171427 3.815937
321.212121 5.644262 3.815937
327.272727 7.742546 3.815937
333.333333 5.997972 3.815937
339.393939 4.732567 3.815937
345.454545 5.812341 3.815937
351.515152 5.459110 3.815937
357.575758 3.867633 3.815937
363.636364 9.117281 3.815937
369.696970 3.343264 3.815937
375.757576 4.698516 3.815937
381.818182 4.865289 3.815937
387.878788 4.054312 3.815937
393.939394 0.253496 3.815937
400.000000 3.128238 3.815937
406.060606 3.089955 3.815937
412.121212 4.391122 3.815937
418.181818 5.433142 3.815937
424.242424 9.242754 3.815937
430.303030 2.313322 3.815937
436.363636 3.073879 3.815937
442.424242 5.964177 3.815937
448.484848 3.968598 3.815937
454.545455 3.377054 3.815937
460.606061 2.093870 3.815937
466.666667 4.458745 3.815937
472.727273 3.326582 3.815937
478.787879 3.807310 3.815937
